,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
421,2100006121803,318000,2BL-SEC1J,2021.0,白,1633.0,3,11
422,2100005787840,748000,EBL-RC50,2012.0,銀,11885.0,3,76
424,2100003912190,718000,2BK-MC51,2020.0,白,4541.0,5,4
425,2100005748933,2398000,BRL,1998.0,黒,33158.0,3,46
426,2100006189902,825000,2BL-RH16J,2021.0,銀,2999.0,7,59
427,2100006277951,1250000,2BL-NC42,2019.0,赤,3916.0,5,30
429,2100005962223,958000,B61,2005.0,黄,26013.0,3,36
430,2100006301472,578000,MC29,2005.0,黒,25002.0,3,55
431,2100005814140,2958000,2BL-ZR900C,2023.0,黄,35.0,7,47
432,2100005157414,648000,2BL-NC59,2021.0,赤,250.0,7,48
433,2100006279870,1268000,EBL-SC54,2016.0,白,4013.0,3,27
434,2100005846868,530000,VN400A,1996.0,黒,39777.0,3,8
435,2100006015553,578000,2BK-EX250P,2022.0,黒,1473.0,7,21
436,2100005881395,218000,EBJ-JF56,2017.0,黒,7188.0,3,36
437,2100005868570,328000,2BJ-JK05,2021.0,黒,7930.0,3,42
438,2100006196450,1998000,YJJE,2020.0,青,2513.0,5,46
440,2100006199147,398000,2BJ-JB02,2019.0,黒,6009.0,3,48
442,2100004816398,599000,JBK-NJ4CA,2014.0,オレンジ,1575.0,1,6
443,2100005898294,238000,2BJ-SED8J,2017.0,黒,11731.0,3,66
445,2100006040111,98000,JBH-AF67,2012.0,青,2715.0,3,2
448,2100005900690,638000,2BK-MF13,2018.0,白,2431.0,5,11
449,2100006283419,1498000,MA01J,2017.0,黒,9617.0,5,34
450,2100005523820,344000,JBH-TA03,2011.0,白,1997.0,3,67
452,2100004057197,2198000,BF5,2013.0,赤,7938.0,1,77
453,2100005938426,358000,2BJ-JK05,2021.0,赤,8833.0,3,2
455,2100006266672,242300,EBJ-JF28,2018.0,白,28561.0,0,80
456,2100006058123,1350000,GN4,2009.0,黒,5439.0,3,22
458,2100006115024,548000,8BL-EX400L,2019.0,白,13294.0,3,9
460,2100006292053,768000,EBL-VN04J,2016.0,赤,12596.0,3,34
461,2100006097566,348000,EBJ-JA10,2023.0,緑,551.0,3,58
465,2100006033335,288000,2BH-AA06,2020.0,白,343.0,1,59
466,2100005244459,1358000,2BL-ZR900C,2019.0,青,28409.0,1,11
467,2100004834774,330000,DL33B,2021.0,黒,509.0,3,44
470,2100006180138,138000,JBH-AF67,2012.0,銀,699.0,3,2
472,2100006212907,658000,2BL-NC59,2021.0,青,3.0,7,18
474,2100005632409,898000,BC-SC54,2011.0,白,41067.0,3,26
477,2100006205107,594000,2BK-MC49,2020.0,黒,644.0,5,54
478,2100006135398,398000,2BJ-SED8J,2021.0,黒,204.0,3,12
479,2100004119796,498000,2BK-MC49,2017.0,黄,12783.0,3,33
480,2100005508711,458000,2BK-DS11A,2019.0,黄,18539.0,3,60
481,2100005798082,378000,2BJ-BR125H,2021.0,白,35.0,3,59
482,2100005269483,236000,GJ55D,2012.0,黒,12440.0,3,52
484,2100006020915,480000,2BK-LE250D,2017.0,銀,14852.0,3,8
485,2100005287364,628000,JBK-VG05J,2013.0,赤,4689.0,1,33
486,2100003789105,978000,2BL-EJ800B,2019.0,銀,9869.0,5,7
487,2100004398436,698000,2BK-MC49,2020.0,銀,2896.0,5,12
488,2100005815666,375000,2BK-ED22B,2021.0,黒,812.0,7,13
490,2100005642316,568000,EBL-RH03J,2011.0,赤,3753.0,3,76
491,2100005410090,438000,BC-NC26,1993.0,黒,33390.0,3,72
492,2100005306188,898000,2BL-GT79B,2017.0,黒,16523.0,3,48
493,2100005990950,1178000,EBL-NC42,2015.0,黒,22924.0,1,61
496,2100006192612,1348000,2BL-SC65,2017.0,黒,10641.0,3,26
498,2100006294477,298000,2BJ-JC79,2018.0,赤,18647.0,3,67
499,2100006106510,140000,JBH-SA39J,2013.0,黒,7346.0,3,78
500,2100005087988,1100000,DP01,2014.0,青,21006.0,1,26
501,2100005568555,918000,2BL-RH03,2019.0,黒,2831.0,5,2
502,2100005997386,398000,2BJ-JK05,2023.0,青,1772.0,3,20
503,2100006165043,148000,EBL-JF19,2010.0,銀,29684.0,3,75
504,2100006176117,358000,JBK-EX250L,2013.0,黒,13758.0,1,7
506,2100006110975,1798000,RP22J,2012.0,黒,19702.0,3,74
507,2100005821896,340000,SEH1,2022.0,青,5294.0,3,58
508,2100005643696,1098000,CK111,2014.0,青,4779.0,1,36
509,2100005857765,638000,ZRT00B,2007.0,青,23721.0,3,67
510,2100005771801,968000,CS2,2008.0,黒,25615.0,3,37
511,2100005855495,378000,2BJ-JK05,2022.0,白,597.0,3,2
512,2100006161991,518000,2BK-DS11A,2018.0,黄,11990.0,3,79
514,2100005351829,1148000,ZR400E,2004.0,黒,20566.0,3,26
515,2100005606622,628000,JBK-LX250V,2016.0,青,244.0,3,57
517,2100005590617,128000,JBH-AF77,2016.0,茶,10149.0,3,52
518,2100005881586,1898000,BY5,2007.0,黒,15638.0,3,53
